front_size,idx,time,n_kink_points
1,0,0.0001,5.0
1,1,0.0001,5.0
1,2,0.0001,5.0
1,3,0.0001,5.0
1,4,0.0001,5.0
1,5,0.0001,5.0
1,6,0.0001,5.0
1,7,0.0001,5.0
1,8,0.0001,5.0
1,9,0.0001,5.0
2,0,0.0001,11.0
2,1,0.0001,11.0
2,2,0.0001,11.0
2,3,0.0001,9.0
2,4,0.0001,11.0
2,5,0.0001,11.0
2,6,0.0001,11.0
2,7,0.0001,11.0
2,8,0.0001,11.0
2,9,0.0001,11.0
4,0,0.0001,27.0
4,1,0.0001,27.0
4,2,0.0001,23.0
4,3,0.0001,27.0
4,4,0.0001,27.0
4,5,0.0001,29.0
4,6,0.0001,27.0
4,7,0.01612,29.0
4,8,0.0001,29.0
4,9,0.0001,27.0
8,0,0.01573,63.0
8,1,0.00559,71.0
8,2,0.01056,67.0
8,3,0.01579,65.0
8,4,0.0001,45.0
8,5,0.0001,73.0
8,6,0.01645,75.0
8,7,0.01652,75.0
8,8,0.02482,75.0
8,9,0.00615,65.0
16,0,0.07996,191.0
16,1,0.0478,165.0
16,2,0.06636,159.0
16,3,0.0642,179.0
16,4,0.05255,161.0
16,5,0.06613,177.0
16,6,0.04536,151.0
16,7,0.06688,193.0
16,8,0.05763,179.0
16,9,0.06741,171.0
32,0,0.27172,415.0
32,1,0.37714,505.0
32,2,0.26997,387.0
32,3,0.36466,399.0
32,4,0.37258,453.0
32,5,0.3102,387.0
32,6,0.4134,467.0
32,7,0.31747,395.0
32,8,0.34924,441.0
32,9,0.30135,437.0
64,0,1.5693,969.0
64,1,1.82812,965.0
64,2,2.36789,1007.0
64,3,1.75647,1057.0
64,4,2.11147,1137.0
64,5,1.75056,1099.0
64,6,2.113,1143.0
64,7,1.68334,961.0
64,8,1.77697,909.0
64,9,1.39456,1097.0
128,0,9.15758,2393.0
128,1,10.11783,2537.0
128,2,9.28235,2575.0
128,3,8.88848,2385.0
128,4,11.4939,2567.0
128,5,7.2932,2351.0
128,6,11.71463,2391.0
128,7,11.40036,2319.0
128,8,10.18716,2843.0
128,9,9.28437,2469.0
256,0,57.63407,5937.0
256,1,55.50884,5635.0
256,2,55.16968,5539.0
256,3,56.1749,5673.0
256,4,53.90594,5715.0
256,5,48.30939,5613.0
256,6,50.85693,5627.0
256,7,59.30326,5659.0
256,8,45.63254,5477.0
256,9,54.91503,6041.0
