front_size,idx,time,n_kink_points
1,0,0.0001,4.0
1,1,0.0001,4.0
1,2,0.0001,4.0
1,3,0.01577,4.0
1,4,0.0001,4.0
1,5,0.0001,4.0
1,6,0.0001,4.0
1,7,0.0001,4.0
1,8,0.0001,4.0
1,9,0.0001,4.0
2,0,0.0001,8.0
2,1,0.0001,8.0
2,2,0.0001,7.0
2,3,0.0001,8.0
2,4,0.0001,7.0
2,5,0.0001,8.0
2,6,0.0001,7.0
2,7,0.0001,8.0
2,8,0.0001,7.0
2,9,0.0001,7.0
4,0,0.0001,15.0
4,1,0.0001,16.0
4,2,0.0001,18.0
4,3,0.0001,16.0
4,4,0.0001,16.0
4,5,0.01576,17.0
4,6,0.0001,15.0
4,7,0.0001,18.0
4,8,0.0001,15.0
4,9,0.0001,15.0
8,0,0.0001,35.0
8,1,0.0158,31.0
8,2,0.0001,34.0
8,3,0.0001,30.0
8,4,0.0001,35.0
8,5,0.01067,34.0
8,6,0.01576,29.0
8,7,0.0001,34.0
8,8,0.0001,36.0
8,9,0.0001,32.0
16,0,0.01578,77.0
16,1,0.01581,75.0
16,2,0.0001,77.0
16,3,0.01578,80.0
16,4,0.0001,73.0
16,5,0.01581,88.0
16,6,0.0153,75.0
16,7,0.01578,77.0
16,8,0.02173,76.0
16,9,0.0001,69.0
32,0,0.04733,178.0
32,1,0.03156,163.0
32,2,0.04758,167.0
32,3,0.03159,158.0
32,4,0.04731,162.0
32,5,0.03158,165.0
32,6,0.03157,156.0
32,7,0.0322,179.0
32,8,0.0408,169.0
32,9,0.02591,145.0
64,0,0.1422,349.0
64,1,0.12642,374.0
64,2,0.11068,357.0
64,3,0.11474,365.0
64,4,0.12653,345.0
64,5,0.12656,401.0
64,6,0.1265,369.0
64,7,0.14301,400.0
64,8,0.12786,381.0
64,9,0.09472,347.0
128,0,0.39695,787.0
128,1,0.46005,805.0
128,2,0.44369,799.0
128,3,0.57267,835.0
128,4,0.49078,868.0
128,5,0.41123,846.0
128,6,0.4605,864.0
128,7,0.41249,903.0
128,8,0.49125,796.0
128,9,0.44594,797.0
256,0,1.71182,1724.0
256,1,1.72573,1758.0
256,2,1.53429,1696.0
256,3,1.59792,1716.0
256,4,1.66216,1762.0
256,5,1.55327,1749.0
256,6,1.36486,1716.0
256,7,1.50729,1725.0
256,8,1.71643,1811.0
256,9,1.58643,1719.0
512,0,6.3197,3691.0
512,1,5.90793,3627.0
512,2,5.94751,3708.0
512,3,5.98159,3685.0
512,4,6.1979,3744.0
512,5,6.05131,3697.0
512,6,5.41625,3628.0
512,7,5.85945,3735.0
512,8,5.68157,3691.0
512,9,5.53861,3684.0
1024,0,21.72333,7814.0
1024,1,21.06176,7735.0
1024,2,22.69427,7723.0
1024,3,21.6445,7766.0
1024,4,20.92733,7715.0
1024,5,22.5701,7760.0
1024,6,21.42872,7761.0
1024,7,22.48292,7797.0
1024,8,22.37061,7754.0
1024,9,21.18815,7855.0
