front_size,idx,time,n_kink_points
1,0,0.00101,3.0
1,1,0.0001,3.0
1,2,0.0011,3.0
1,3,0.0001,3.0
1,4,0.0001,3.0
1,5,0.00106,3.0
1,6,0.0001,3.0
1,7,0.001,3.0
1,8,0.0001,3.0
1,9,0.001,3.0
2,0,0.00107,5.0
2,1,0.001,5.0
2,2,0.0001,5.0
2,3,0.0001,5.0
2,4,0.001,5.0
2,5,0.0001,5.0
2,6,0.00132,5.0
2,7,0.001,5.0
2,8,0.001,5.0
2,9,0.00101,5.0
4,0,0.00099,9.0
4,1,0.002,9.0
4,2,0.00101,9.0
4,3,0.00201,9.0
4,4,0.001,9.0
4,5,0.002,9.0
4,6,0.002,9.0
4,7,0.0019,9.0
4,8,0.00201,9.0
4,9,0.00132,9.0
8,0,0.00302,17.0
8,1,0.003,17.0
8,2,0.002,17.0
8,3,0.00299,17.0
8,4,0.003,17.0
8,5,0.003,17.0
8,6,0.00199,17.0
8,7,0.003,17.0
8,8,0.003,17.0
8,9,0.00299,17.0
16,0,0.00532,33.0
16,1,0.00528,33.0
16,2,0.00533,33.0
16,3,0.00533,33.0
16,4,0.00529,33.0
16,5,0.00531,33.0
16,6,0.00531,33.0
16,7,0.00531,33.0
16,8,0.0053,33.0
16,9,0.00616,33.0
32,0,0.01,65.0
32,1,0.011,65.0
32,2,0.01171,65.0
32,3,0.01016,65.0
32,4,0.01065,65.0
32,5,0.01103,65.0
32,6,0.01031,65.0
32,7,0.01026,65.0
32,8,0.01058,65.0
32,9,0.01032,65.0
64,0,0.02196,129.0
64,1,0.02209,129.0
64,2,0.0211,129.0
64,3,0.0216,129.0
64,4,0.02122,129.0
64,5,0.02064,129.0
64,6,0.02183,129.0
64,7,0.02178,129.0
64,8,0.02064,129.0
64,9,0.02104,129.0
128,0,0.04382,257.0
128,1,0.04283,257.0
128,2,0.0447,257.0
128,3,0.04384,257.0
128,4,0.04467,257.0
128,5,0.04471,257.0
128,6,0.043,257.0
128,7,0.04392,257.0
128,8,0.04368,257.0
128,9,0.04357,257.0
256,0,0.09085,513.0
256,1,0.09131,513.0
256,2,0.08982,513.0
256,3,0.08888,513.0
256,4,0.0912,513.0
256,5,0.09085,513.0
256,6,0.09153,513.0
256,7,0.09235,513.0
256,8,0.09202,513.0
256,9,0.09165,513.0
512,0,0.19357,1025.0
512,1,0.19074,1025.0
512,2,0.19489,1025.0
512,3,0.19538,1025.0
512,4,0.19159,1025.0
512,5,0.19128,1025.0
512,6,0.19354,1025.0
512,7,0.19178,1025.0
512,8,0.19307,1025.0
512,9,0.18997,1025.0
1024,0,0.41381,2049.0
1024,1,0.41602,2049.0
1024,2,0.41104,2049.0
1024,3,0.41509,2049.0
1024,4,0.42067,2049.0
1024,5,0.42197,2049.0
1024,6,0.41431,2049.0
1024,7,0.41634,2049.0
1024,8,0.414,2049.0
1024,9,0.40842,2049.0
2048,0,0.91186,4097.0
2048,1,0.92722,4097.0
2048,2,0.92608,4097.0
2048,3,0.91646,4097.0
2048,4,0.91606,4097.0
2048,5,0.91374,4097.0
2048,6,0.91193,4097.0
2048,7,0.92829,4097.0
2048,8,0.91738,4097.0
2048,9,0.91645,4097.0
4096,0,2.09216,8193.0
4096,1,2.08972,8193.0
4096,2,2.09733,8193.0
4096,3,2.10376,8193.0
4096,4,2.10762,8193.0
4096,5,2.0715,8193.0
4096,6,2.07359,8193.0
4096,7,2.09706,8193.0
4096,8,2.10016,8193.0
4096,9,2.1061,8193.0
8192,0,4.86456,16385.0
8192,1,4.8916,16385.0
8192,2,4.90837,16385.0
8192,3,4.86427,16385.0
8192,4,4.87202,16385.0
8192,5,4.94618,16385.0
8192,6,4.94021,16385.0
8192,7,4.92837,16385.0
8192,8,7.38641,16385.0
8192,9,10.17969,16385.0
16384,0,24.33097,32769.0
16384,1,24.48202,32769.0
16384,2,24.14952,32769.0
16384,3,24.19088,32769.0
16384,4,24.18937,32769.0
16384,5,24.16612,32769.0
16384,6,24.49578,32769.0
16384,7,24.21767,32769.0
16384,8,24.27681,32769.0
16384,9,24.09713,32769.0
32768,0,59.75994,65537.0
32768,1,59.6054,65537.0
32768,2,58.92879,65537.0
32768,3,60.29802,65537.0
32768,4,60.14589,65537.0
32768,5,58.34628,65537.0
32768,6,58.52022,65537.0
32768,7,58.60095,65537.0
32768,8,60.11591,65537.0
32768,9,57.72582,65537.0
