front_size,idx,time,n_kink_points
1,0,0.0001,4.0
1,1,0.0001,4.0
1,2,0.0001,4.0
1,3,0.0001,4.0
1,4,0.0001,4.0
1,5,0.0001,4.0
1,6,0.0001,4.0
1,7,0.0001,4.0
1,8,0.0001,4.0
1,9,0.0001,4.0
2,0,0.0001,8.0
2,1,0.0001,7.0
2,2,0.00099,8.0
2,3,0.0001,8.0
2,4,0.0001,8.0
2,5,0.0001,7.0
2,6,0.0001,8.0
2,7,0.0001,8.0
2,8,0.00101,7.0
2,9,0.0001,7.0
4,0,0.001,15.0
4,1,0.0001,17.0
4,2,0.0001,17.0
4,3,0.0001,15.0
4,4,0.0001,14.0
4,5,0.00099,16.0
4,6,0.0001,17.0
4,7,0.001,18.0
4,8,0.0001,16.0
4,9,0.0001,15.0
8,0,0.00098,35.0
8,1,0.00199,34.0
8,2,0.00101,32.0
8,3,0.001,30.0
8,4,0.002,32.0
8,5,0.00101,33.0
8,6,0.001,31.0
8,7,0.002,38.0
8,8,0.001,33.0
8,9,0.00101,37.0
16,0,0.003,75.0
16,1,0.00401,73.0
16,2,0.00299,76.0
16,3,0.005,77.0
16,4,0.004,74.0
16,5,0.00299,72.0
16,6,0.0041,80.0
16,7,0.00399,73.0
16,8,0.00458,81.0
16,9,0.0051,72.0
32,0,0.014,176.0
32,1,0.01499,174.0
32,2,0.01399,160.0
32,3,0.01401,173.0
32,4,0.01202,167.0
32,5,0.01471,174.0
32,6,0.02013,161.0
32,7,0.01713,152.0
32,8,0.01396,173.0
32,9,0.01604,178.0
64,0,0.05376,373.0
64,1,0.05299,387.0
64,2,0.05384,380.0
64,3,0.05038,371.0
64,4,0.06836,367.0
64,5,0.04748,361.0
64,6,0.05205,377.0
64,7,0.05159,392.0
64,8,0.05694,372.0
64,9,0.05514,369.0
128,0,0.20354,846.0
128,1,0.41172,796.0
128,2,0.23065,842.0
128,3,0.19778,779.0
128,4,0.18863,812.0
128,5,0.20827,800.0
128,6,0.18588,838.0
128,7,0.19195,821.0
128,8,0.1974,834.0
128,9,0.20843,802.0
256,0,0.79217,1766.0
256,1,0.66852,1735.0
256,2,0.84206,1784.0
256,3,0.868,1743.0
256,4,0.6768,1748.0
256,5,0.78891,1762.0
256,6,0.77608,1704.0
256,7,1.24579,1702.0
256,8,1.59366,1702.0
256,9,1.54179,1722.0
512,0,5.65664,3704.0
512,1,6.23379,3742.0
512,2,5.62342,3637.0
512,3,5.34696,3708.0
512,4,6.12977,3743.0
512,5,5.64958,3674.0
512,6,4.06897,3606.0
512,7,2.76004,3692.0
512,8,3.03375,3682.0
512,9,3.30191,3656.0
1024,0,11.27955,7729.0
1024,1,11.29031,7756.0
1024,2,9.6758,7724.0
1024,3,10.08411,7765.0
1024,4,10.92426,7709.0
1024,5,10.73714,7766.0
1024,6,15.73327,7701.0
1024,7,21.66966,7777.0
1024,8,22.45302,7755.0
1024,9,20.43327,7635.0
2048,0,58.06409,15994.0
2048,1,42.0442,16184.0
2048,2,45.45889,16078.0
2048,3,55.39175,16085.0
2048,4,40.95878,16151.0
2048,5,40.91652,16196.0
2048,6,40.55201,15976.0
2048,7,62.01233,15973.0
2048,8,86.81425,16025.0
2048,9,80.50499,16017.0
