front_size,idx,time,n_kink_points
1,0,0.01583,6.0
1,1,0.0001,6.0
1,2,0.002,6.0
1,3,0.0001,6.0
1,4,0.0001,6.0
1,5,0.002,6.0
1,6,0.0001,6.0
1,7,0.0001,6.0
1,8,0.0001,6.0
1,9,0.0001,6.0
2,0,0.01603,15.0
2,1,0.01607,15.0
2,2,0.0001,15.0
2,3,0.0001,15.0
2,4,0.0001,15.0
2,5,0.01594,14.0
2,6,0.0001,14.0
2,7,0.0001,14.0
2,8,0.0001,15.0
2,9,0.01584,15.0
4,0,0.0176,42.0
4,1,0.01579,39.0
4,2,0.01385,45.0
4,3,0.03253,44.0
4,4,0.01593,34.0
4,5,0.01614,34.0
4,6,0.01603,37.0
4,7,0.01599,33.0
4,8,0.01595,42.0
4,9,0.01583,43.0
8,0,0.07169,115.0
8,1,0.06359,108.0
8,2,0.06826,122.0
8,3,0.06431,117.0
8,4,0.06395,107.0
8,5,0.04788,107.0
8,6,0.0636,136.0
8,7,0.059,116.0
8,8,0.08083,146.0
8,9,0.06417,116.0
16,0,0.22345,282.0
16,1,0.32923,324.0
16,2,0.25581,333.0
16,3,0.22311,344.0
16,4,0.33361,343.0
16,5,0.33419,396.0
16,6,0.35224,385.0
16,7,0.29592,439.0
16,8,0.383,408.0
16,9,0.3367,330.0
32,0,1.8948,1036.0
32,1,2.00975,1061.0
32,2,1.76177,1108.0
32,3,1.89966,943.0
32,4,1.65754,955.0
32,5,1.62309,1017.0
32,6,1.73907,984.0
32,7,2.1208,1160.0
32,8,1.86547,1233.0
32,9,1.62784,1276.0
64,0,18.24175,2915.0
64,1,20.01509,3746.0
64,2,17.59328,3316.0
64,3,16.58457,2900.0
64,4,16.88681,3038.0
64,5,20.98152,4104.0
64,6,12.17263,2578.0
64,7,11.50939,2777.0
64,8,13.60988,3066.0
64,9,11.82159,2604.0
