front_size,idx,time,n_kink_points
1,0,0.0001,3.0
1,1,0.0001,3.0
1,2,0.0001,3.0
1,3,0.0001,3.0
1,4,0.0001,3.0
1,5,0.0001,3.0
1,6,0.0001,3.0
1,7,0.0001,3.0
1,8,0.0001,3.0
1,9,0.0001,3.0
2,0,0.0001,5.0
2,1,0.0001,5.0
2,2,0.0001,5.0
2,3,0.0001,5.0
2,4,0.0001,5.0
2,5,0.0001,5.0
2,6,0.0001,5.0
2,7,0.0001,5.0
2,8,0.0001,5.0
2,9,0.0001,5.0
4,0,0.0001,9.0
4,1,0.00413,9.0
4,2,0.0001,9.0
4,3,0.0001,9.0
4,4,0.0001,9.0
4,5,0.0001,9.0
4,6,0.0001,9.0
4,7,0.0001,9.0
4,8,0.0001,9.0
4,9,0.0001,9.0
8,0,0.0001,17.0
8,1,0.0001,17.0
8,2,0.0001,17.0
8,3,0.0001,17.0
8,4,0.0001,17.0
8,5,0.0001,17.0
8,6,0.0001,17.0
8,7,0.0001,17.0
8,8,0.0001,17.0
8,9,0.0001,17.0
16,0,0.0001,33.0
16,1,0.0001,33.0
16,2,0.0001,33.0
16,3,0.0001,33.0
16,4,0.0001,33.0
16,5,0.0001,33.0
16,6,0.00414,33.0
16,7,0.0001,33.0
16,8,0.0001,33.0
16,9,0.0001,33.0
32,0,0.0001,65.0
32,1,0.00417,65.0
32,2,0.0001,65.0
32,3,0.00414,65.0
32,4,0.00413,65.0
32,5,0.0001,65.0
32,6,0.00414,65.0
32,7,0.0001,65.0
32,8,0.00416,65.0
32,9,0.00413,65.0
64,0,0.00418,129.0
64,1,0.00831,129.0
64,2,0.00629,129.0
64,3,0.00628,129.0
64,4,0.00413,129.0
64,5,0.00835,129.0
64,6,0.00362,129.0
64,7,0.00416,129.0
64,8,0.0083,129.0
64,9,0.0083,129.0
128,0,0.01243,257.0
128,1,0.01657,257.0
128,2,0.01644,257.0
128,3,0.01242,257.0
128,4,0.01661,257.0
128,5,0.01254,257.0
128,6,0.01663,257.0
128,7,0.01252,257.0
128,8,0.01245,257.0
128,9,0.01658,257.0
256,0,0.03745,513.0
256,1,0.03313,513.0
256,2,0.03736,513.0
256,3,0.03329,513.0
256,4,0.03313,513.0
256,5,0.04575,513.0
256,6,0.04157,513.0
256,7,0.0414,513.0
256,8,0.04053,513.0
256,9,0.03654,513.0
512,0,0.10078,1025.0
512,1,0.21785,1025.0
512,2,0.29292,1025.0
512,3,0.18429,1025.0
512,4,0.1015,1025.0
512,5,0.09858,1025.0
512,6,0.0962,1025.0
512,7,0.09388,1025.0
512,8,0.09466,1025.0
512,9,0.09457,1025.0
1024,0,0.26535,2049.0
1024,1,0.26554,2049.0
1024,2,0.25297,2049.0
1024,3,0.25261,2049.0
1024,4,0.25672,2049.0
1024,5,0.25054,2049.0
1024,6,0.25462,2049.0
1024,7,0.26875,2049.0
1024,8,0.25641,2049.0
1024,9,0.27294,2049.0
2048,0,0.70077,4097.0
2048,1,0.6937,4097.0
2048,2,0.68115,4097.0
2048,3,0.69628,4097.0
2048,4,0.74682,4097.0
2048,5,0.6859,4097.0
2048,6,0.69803,4097.0
2048,7,0.68411,4097.0
2048,8,0.68894,4097.0
2048,9,0.70638,4097.0
4096,0,1.89516,8193.0
4096,1,1.91886,8193.0
4096,2,1.881,8193.0
4096,3,1.90479,8193.0
4096,4,1.86742,8193.0
4096,5,1.871,8193.0
4096,6,1.85093,8193.0
4096,7,1.91208,8193.0
4096,8,1.9022,8193.0
4096,9,1.8855,8193.0
8192,0,5.42579,16385.0
8192,1,5.3151,16385.0
8192,2,5.43132,16385.0
8192,3,5.2537,16385.0
8192,4,5.3737,16385.0
8192,5,5.40181,16385.0
8192,6,5.28281,16385.0
8192,7,5.48481,16385.0
8192,8,5.42357,16385.0
8192,9,4.51871,16385.0
16384,0,7.79438,32769.0
16384,1,7.73941,32769.0
16384,2,7.91353,32769.0
16384,3,7.7936,32769.0
16384,4,7.74675,32769.0
16384,5,7.81522,32769.0
16384,6,7.84836,32769.0
16384,7,7.72599,32769.0
16384,8,9.80273,32769.0
16384,9,15.25689,32769.0
32768,0,43.51844,65537.0
32768,1,27.21645,65537.0
32768,2,22.56712,65537.0
32768,3,22.93971,65537.0
32768,4,23.89451,65537.0
32768,5,23.51553,65537.0
32768,6,36.22123,65537.0
32768,7,25.70483,65537.0
32768,8,34.50306,65537.0
32768,9,43.526,65537.0
