front_size,idx,time,n_kink_points
1,0,0.0001,6.0
1,1,0.00089,6.0
1,2,0.001,6.0
1,3,0.0001,6.0
1,4,0.0001,6.0
1,5,0.0001,6.0
1,6,0.0001,6.0
1,7,0.0001,6.0
1,8,0.0001,6.0
1,9,0.0001,6.0
2,0,0.00174,14.0
2,1,0.002,15.0
2,2,0.00101,14.0
2,3,0.001,14.0
2,4,0.002,15.0
2,5,0.0001,14.0
2,6,0.0001,14.0
2,7,0.0001,15.0
2,8,0.0001,15.0
2,9,0.0001,15.0
4,0,0.006,44.0
4,1,0.00584,42.0
4,2,0.009,43.0
4,3,0.005,43.0
4,4,0.0001,35.0
4,5,0.01397,43.0
4,6,0.00651,41.0
4,7,0.01187,41.0
4,8,0.01538,47.0
4,9,0.0001,42.0
8,0,0.03329,133.0
8,1,0.02873,139.0
8,2,0.02998,121.0
8,3,0.36336,139.0
8,4,0.032,116.0
8,5,0.05909,147.0
8,6,0.02113,107.0
8,7,0.02645,106.0
8,8,0.03954,118.0
8,9,0.04284,134.0
16,0,1.13298,447.0
16,1,0.63817,354.0
16,2,0.7157,377.0
16,3,0.92001,426.0
16,4,0.39894,358.0
16,5,0.36884,369.0
16,6,0.38164,419.0
16,7,0.38659,365.0
16,8,0.44805,416.0
16,9,0.39545,404.0
32,0,3.38475,1329.0
32,1,3.73648,979.0
32,2,3.62354,1258.0
32,3,3.46334,1446.0
32,4,3.49809,1174.0
32,5,3.11005,1086.0
32,6,2.61485,1034.0
32,7,3.53136,1300.0
32,8,2.48864,1098.0
32,9,1.3672,1082.0
64,0,14.45662,3283.0
64,1,16.47553,3638.0
64,2,10.7097,3442.0
64,3,13.68266,3553.0
64,4,14.13175,3551.0
64,5,14.21539,3656.0
64,6,12.77905,3317.0
64,7,16.0971,3751.0
64,8,14.59552,3887.0
64,9,16.76105,3796.0
