front_size,idx,time,n_kink_points
1,0,0.00131,6.0
1,1,0.00107,6.0
1,2,0.0001,6.0
1,3,0.0001,6.0
1,4,0.0001,6.0
1,5,0.001,6.0
1,6,0.0001,6.0
1,7,0.0001,6.0
1,8,0.0001,6.0
1,9,0.0001,6.0
2,0,0.001,14.0
2,1,0.001,14.0
2,2,0.0001,15.0
2,3,0.0001,15.0
2,4,0.001,15.0
2,5,0.001,15.0
2,6,0.0001,15.0
2,7,0.0001,14.0
2,8,0.0001,15.0
2,9,0.001,15.0
4,0,0.004,35.0
4,1,0.005,45.0
4,2,0.004,47.0
4,3,0.003,42.0
4,4,0.0032,38.0
4,5,0.00301,39.0
4,6,0.00299,37.0
4,7,0.00301,38.0
4,8,0.00311,37.0
4,9,0.002,28.0
8,0,0.02231,125.0
8,1,0.02622,126.0
8,2,0.02101,147.0
8,3,0.02625,138.0
8,4,0.02598,131.0
8,5,0.0269,120.0
8,6,0.02582,112.0
8,7,0.02689,140.0
8,8,0.02281,100.0
8,9,0.023,117.0
16,0,0.19614,417.0
16,1,0.13339,333.0
16,2,0.20213,469.0
16,3,0.18087,401.0
16,4,0.155,375.0
16,5,0.16534,400.0
16,6,0.20454,350.0
16,7,0.19942,381.0
16,8,0.21409,454.0
16,9,0.19789,455.0
32,0,1.55258,1157.0
32,1,1.69261,1156.0
32,2,1.58868,1277.0
32,3,2.09556,1250.0
32,4,2.1111,1201.0
32,5,1.92594,1396.0
32,6,1.45184,1112.0
32,7,1.68881,1261.0
32,8,2.06196,1306.0
32,9,1.33003,1087.0
64,0,15.72215,3430.0
64,1,14.74259,3631.0
64,2,15.89379,3431.0
64,3,19.52022,3487.0
64,4,16.67951,3382.0
64,5,42.266,3359.0
64,6,55.14316,3393.0
64,7,62.16384,3241.0
64,8,64.65458,3724.0
64,9,75.71905,3662.0
