front_size,idx,time,n_kink_points
1,0,0.0001,3.0
1,1,0.0001,3.0
1,2,0.0001,3.0
1,3,0.0001,3.0
1,4,0.001,3.0
1,5,0.0001,3.0
1,6,0.0001,3.0
1,7,0.0001,3.0
1,8,0.0001,3.0
1,9,0.0001,3.0
2,0,0.0001,5.0
2,1,0.0001,5.0
2,2,0.0001,5.0
2,3,0.001,5.0
2,4,0.0001,5.0
2,5,0.0001,5.0
2,6,0.0001,5.0
2,7,0.001,5.0
2,8,0.0001,5.0
2,9,0.0001,5.0
4,0,0.0001,9.0
4,1,0.0001,9.0
4,2,0.0001,9.0
4,3,0.0001,9.0
4,4,0.0001,9.0
4,5,0.0001,9.0
4,6,0.0001,9.0
4,7,0.0001,9.0
4,8,0.0001,9.0
4,9,0.001,9.0
8,0,0.0001,17.0
8,1,0.001,17.0
8,2,0.001,17.0
8,3,0.0001,17.0
8,4,0.001,17.0
8,5,0.0001,17.0
8,6,0.0001,17.0
8,7,0.00099,17.0
8,8,0.0001,17.0
8,9,0.00099,17.0
16,0,0.0009,33.0
16,1,0.001,33.0
16,2,0.00099,33.0
16,3,0.001,33.0
16,4,0.00099,33.0
16,5,0.00053,33.0
16,6,0.00096,33.0
16,7,0.001,33.0
16,8,0.00149,33.0
16,9,0.0001,33.0
32,0,0.00169,65.0
32,1,0.002,65.0
32,2,0.00199,65.0
32,3,0.002,65.0
32,4,0.002,65.0
32,5,0.00198,65.0
32,6,0.002,65.0
32,7,0.002,65.0
32,8,0.002,65.0
32,9,0.002,65.0
64,0,0.00398,129.0
64,1,0.004,129.0
64,2,0.00419,129.0
64,3,0.00523,129.0
64,4,0.004,129.0
64,5,0.00464,129.0
64,6,0.00499,129.0
64,7,0.00501,129.0
64,8,0.00429,129.0
64,9,0.004,129.0
128,0,0.011,257.0
128,1,0.01002,257.0
128,2,0.011,257.0
128,3,0.01009,257.0
128,4,0.01001,257.0
128,5,0.01,257.0
128,6,0.011,257.0
128,7,0.01101,257.0
128,8,0.01099,257.0
128,9,0.01043,257.0
256,0,0.024,513.0
256,1,0.026,513.0
256,2,0.02362,513.0
256,3,0.025,513.0
256,4,0.02328,513.0
256,5,0.02626,513.0
256,6,0.0242,513.0
256,7,0.02491,513.0
256,8,0.02545,513.0
256,9,0.02541,513.0
512,0,0.061,1025.0
512,1,0.06153,1025.0
512,2,0.0606,1025.0
512,3,0.06254,1025.0
512,4,0.06214,1025.0
512,5,0.06158,1025.0
512,6,0.06203,1025.0
512,7,0.06231,1025.0
512,8,0.06319,1025.0
512,9,0.06084,1025.0
1024,0,0.15408,2049.0
1024,1,0.15635,2049.0
1024,2,0.16029,2049.0
1024,3,0.15228,2049.0
1024,4,0.15154,2049.0
1024,5,0.15583,2049.0
1024,6,0.15416,2049.0
1024,7,0.15053,2049.0
1024,8,0.1499,2049.0
1024,9,0.1501,2049.0
2048,0,0.39698,4097.0
2048,1,0.39193,4097.0
2048,2,0.39064,4097.0
2048,3,0.39645,4097.0
2048,4,0.4008,4097.0
2048,5,0.39857,4097.0
2048,6,0.38579,4097.0
2048,7,0.39589,4097.0
2048,8,0.39151,4097.0
2048,9,0.39537,4097.0
4096,0,1.06145,8193.0
4096,1,1.02687,8193.0
4096,2,1.03114,8193.0
4096,3,1.04352,8193.0
4096,4,1.05353,8193.0
4096,5,1.03417,8193.0
4096,6,1.04076,8193.0
4096,7,1.04632,8193.0
4096,8,1.06139,8193.0
4096,9,1.02887,8193.0
8192,0,2.78009,16385.0
8192,1,2.80506,16385.0
8192,2,2.84826,16385.0
8192,3,3.11229,16385.0
8192,4,2.80434,16385.0
8192,5,2.8306,16385.0
8192,6,2.79493,16385.0
8192,7,2.8018,16385.0
8192,8,2.7883,16385.0
8192,9,2.79256,16385.0
16384,0,7.57362,32769.0
16384,1,7.5789,32769.0
16384,2,7.74453,32769.0
16384,3,7.70967,32769.0
16384,4,7.69527,32769.0
16384,5,7.72421,32769.0
16384,6,7.77515,32769.0
16384,7,9.88925,32769.0
16384,8,7.9257,32769.0
16384,9,7.67592,32769.0
32768,0,21.64864,65537.0
32768,1,21.14674,65537.0
32768,2,21.35973,65537.0
32768,3,21.31892,65537.0
32768,4,21.43314,65537.0
32768,5,21.04749,65537.0
32768,6,21.12398,65537.0
32768,7,20.96833,65537.0
32768,8,21.26852,65537.0
32768,9,21.05526,65537.0
65536,0,58.64191,131073.0
65536,1,58.80246,131073.0
65536,2,58.34902,131073.0
65536,3,58.33527,131073.0
65536,4,58.74303,131073.0
65536,5,58.84791,131073.0
65536,6,58.87565,131073.0
65536,7,59.73184,131073.0
65536,8,57.85155,131073.0
65536,9,58.17215,131073.0
