front_size,idx,time,n_kink_points
1,0,0.0001,4.0
1,1,0.0001,4.0
1,2,0.00099,4.0
1,3,0.0001,4.0
1,4,0.0001,4.0
1,5,0.0001,4.0
1,6,0.0001,4.0
1,7,0.0001,4.0
1,8,0.0001,4.0
1,9,0.0001,4.0
2,0,0.001,7.0
2,1,0.0001,7.0
2,2,0.0001,7.0
2,3,0.001,8.0
2,4,0.0001,7.0
2,5,0.0001,7.0
2,6,0.00161,7.0
2,7,0.0001,7.0
2,8,0.0001,7.0
2,9,0.0001,7.0
4,0,0.001,15.0
4,1,0.00098,17.0
4,2,0.00098,17.0
4,3,0.00101,18.0
4,4,0.00099,15.0
4,5,0.001,14.0
4,6,0.001,17.0
4,7,0.00099,16.0
4,8,0.00101,15.0
4,9,0.0001,14.0
8,0,0.00301,32.0
8,1,0.002,32.0
8,2,0.003,42.0
8,3,0.002,34.0
8,4,0.00299,32.0
8,5,0.00201,33.0
8,6,0.00301,28.0
8,7,0.00199,32.0
8,8,0.002,35.0
8,9,0.00198,35.0
16,0,0.00801,71.0
16,1,0.008,76.0
16,2,0.00601,73.0
16,3,0.00799,72.0
16,4,0.00801,75.0
16,5,0.01011,82.0
16,6,0.00969,85.0
16,7,0.00901,78.0
16,8,0.00902,81.0
16,9,0.00798,71.0
32,0,0.02501,150.0
32,1,0.03111,162.0
32,2,0.0226,168.0
32,3,0.03013,167.0
32,4,0.028,152.0
32,5,0.0288,160.0
32,6,0.03311,151.0
32,7,0.029,164.0
32,8,0.02811,154.0
32,9,0.03374,171.0
64,0,0.12881,375.0
64,1,0.12584,372.0
64,2,0.10892,355.0
64,3,0.11701,369.0
64,4,0.10281,348.0
64,5,0.09886,343.0
64,6,0.10091,341.0
64,7,0.14983,365.0
64,8,0.10185,349.0
64,9,0.10382,358.0
128,0,0.37833,724.0
128,1,0.43848,758.0
128,2,0.38842,782.0
128,3,0.39432,781.0
128,4,0.37228,771.0
128,5,0.41339,777.0
128,6,0.35464,764.0
128,7,0.39038,738.0
128,8,0.40529,784.0
128,9,0.44001,743.0
256,0,1.47682,1593.0
256,1,1.47054,1572.0
256,2,1.47515,1623.0
256,3,1.60135,1626.0
256,4,1.5854,1653.0
256,5,1.42215,1586.0
256,6,1.4396,1582.0
256,7,1.55279,1646.0
256,8,1.51875,1581.0
256,9,1.64218,1609.0
512,0,6.08631,3410.0
512,1,5.4926,3369.0
512,2,4.93376,3326.0
512,3,6.17319,3415.0
512,4,5.66465,3380.0
512,5,5.49675,3404.0
512,6,5.73645,3327.0
512,7,2.95497,3514.0
512,8,2.59261,3348.0
512,9,2.63431,3376.0
1024,0,9.62073,7175.0
1024,1,9.75907,7249.0
1024,2,10.80012,7074.0
1024,3,11.1535,7124.0
1024,4,10.24326,7213.0
1024,5,9.97208,7100.0
1024,6,9.84292,7098.0
1024,7,19.34974,7155.0
1024,8,20.42247,6961.0
1024,9,21.12623,6963.0
2048,0,80.00121,14733.0
2048,1,78.28632,14681.0
2048,2,82.63951,14697.0
2048,3,63.77938,14869.0
2048,4,82.98585,14810.0
2048,5,80.91359,15137.0
2048,6,79.09043,14829.0
2048,7,74.60518,14650.0
2048,8,84.96481,14702.0
2048,9,85.51021,14626.0
