front_size,idx,time,n_kink_points
1,0,0.0001,5.0
1,1,0.0001,5.0
1,2,0.0001,5.0
1,3,0.0001,5.0
1,4,0.0001,5.0
1,5,0.0001,5.0
1,6,0.0001,5.0
1,7,0.0001,5.0
1,8,0.0001,5.0
1,9,0.0001,5.0
2,0,0.0001,11.0
2,1,0.001,11.0
2,2,0.00101,11.0
2,3,0.00101,9.0
2,4,0.001,11.0
2,5,0.0001,9.0
2,6,0.0001,11.0
2,7,0.0001,9.0
2,8,0.0001,9.0
2,9,0.00123,9.0
4,0,0.00101,23.0
4,1,0.00201,29.0
4,2,0.002,29.0
4,3,0.001,25.0
4,4,0.002,21.0
4,5,0.00212,29.0
4,6,0.002,23.0
4,7,0.002,29.0
4,8,0.001,27.0
4,9,0.001,27.0
8,0,0.00808,77.0
8,1,0.006,63.0
8,2,0.00499,53.0
8,3,0.00701,65.0
8,4,0.006,67.0
8,5,0.006,63.0
8,6,0.007,55.0
8,7,0.006,71.0
8,8,0.00599,67.0
8,9,0.007,81.0
16,0,0.03591,213.0
16,1,0.02633,153.0
16,2,0.036,193.0
16,3,0.02493,151.0
16,4,0.03199,159.0
16,5,0.02931,197.0
16,6,0.02681,143.0
16,7,0.0313,177.0
16,8,0.031,177.0
16,9,0.03314,165.0
32,0,0.17493,383.0
32,1,0.12548,399.0
32,2,0.20208,435.0
32,3,0.14621,409.0
32,4,0.15546,377.0
32,5,0.14196,379.0
32,6,0.18006,433.0
32,7,0.14449,351.0
32,8,0.15664,429.0
32,9,0.17384,475.0
64,0,0.92644,1107.0
64,1,0.70221,991.0
64,2,0.94259,1035.0
64,3,0.79188,1081.0
64,4,0.83049,975.0
64,5,0.77046,1019.0
64,6,0.90652,1009.0
64,7,0.70524,939.0
64,8,0.58413,959.0
64,9,0.74451,1007.0
128,0,4.5754,2513.0
128,1,4.61694,2493.0
128,2,3.9171,2341.0
128,3,4.54208,2451.0
128,4,5.4316,2255.0
128,5,3.71844,2575.0
128,6,4.69065,2563.0
128,7,5.25337,2545.0
128,8,5.85434,2393.0
128,9,10.66334,2425.0
256,0,54.84135,5717.0
256,1,56.70229,5795.0
256,2,52.72425,5745.0
256,3,54.92859,5807.0
256,4,67.34608,6225.0
256,5,59.57989,6073.0
256,6,60.89697,6001.0
256,7,38.4815,5977.0
256,8,24.8655,5493.0
256,9,56.49032,5751.0
